date,cases,new_cases
2020-01-24,495,0
2020-01-25,572,77
2020-01-26,618,46
2020-01-27,698,80
2020-01-28,1590,892
2020-01-29,1905,315
2020-01-30,2261,356
2020-01-31,2639,378
2020-02-01,3215,576
2020-02-02,4109,894
2020-02-03,5142,1033
2020-02-04,6384,1242
2020-02-05,8351,1967
2020-02-06,10117,1766
2020-02-07,11618,1501
2020-02-08,13603,1985
2020-02-09,14982,1379
2020-02-10,16902,1920
2020-02-11,18454,1552
2020-02-12,19558,1104
2020-02-13,32994,13436
2020-02-14,35991,2997
2020-02-15,37914,1923
2020-02-16,39462,1548
2020-02-17,41152,1690
2020-02-18,42752,1600
2020-02-19,44412,1660
2020-02-20,45027,615
2020-02-21,45346,319
2020-02-22,45660,314
2020-02-23,46201,541
2020-02-24,46607,406
2020-02-25,47071,464
2020-02-26,47441,370
2020-02-27,47824,383
2020-02-28,48137,313
2020-02-29,48557,420
2020-03-01,49122,565
2020-03-02,49315,193
2020-03-03,49426,111
2020-03-04,49540,114
2020-03-05,49671,131
2020-03-06,49797,126
2020-03-07,49871,74
2020-03-08,49912,41
2020-03-09,49948,36
2020-03-10,49965,17
2020-03-11,49978,13
2020-03-12,49986,8
2020-03-13,49991,5
2020-03-14,49995,4
2020-03-15,49999,4
2020-03-16,50003,4
2020-03-17,50004,1
2020-03-18,50005,1
2020-03-19,50005,0
2020-03-20,50005,0
2020-03-21,50005,0
2020-03-22,50005,0
2020-03-23,50005,0
2020-03-24,50006,1
2020-03-25,50006,0
2020-03-26,50006,0
2020-03-27,50006,0
2020-03-28,50006,0
2020-03-29,50006,0
2020-03-30,50006,0
2020-03-31,50006,0
2020-04-01,50007,1
2020-04-02,50007,0
2020-04-03,50007,0
2020-04-04,50008,1
2020-04-05,50008,0
2020-04-06,50008,0
2020-04-07,50008,0
2020-04-08,50008,0
2020-04-09,50008,0
2020-04-10,50008,0
2020-04-11,50008,0
2020-04-12,50008,0
2020-04-13,50008,0
2020-04-14,50008,0
2020-04-15,50008,0
2020-04-16,50008,0
2020-04-17,50333,325
2020-04-18,50333,0
2020-04-19,50333,0
2020-04-20,50333,0
2020-04-21,50333,0
2020-04-22,50333,0
2020-04-23,50333,0
2020-04-24,50333,0
2020-04-25,50333,0
2020-04-26,50333,0
2020-04-27,50333,0
2020-04-28,50333,0
2020-04-29,50333,0
2020-04-30,50333,0
2020-05-01,50333,0
2020-05-02,50333,0
2020-05-03,50333,0
2020-05-04,50333,0
2020-05-05,50333,0
2020-05-06,50333,0
2020-05-07,50333,0
2020-05-08,50333,0
2020-05-09,50333,0
2020-05-10,50334,1
2020-05-11,50339,5
2020-05-12,50339,0
2020-05-13,50339,0
2020-05-14,50339,0
2020-05-15,50339,0
2020-05-16,50339,0
2020-05-17,50339,0
2020-05-18,50339,0
2020-05-19,50340,1
2020-05-20,50340,0
2020-05-21,50340,0
2020-05-22,50340,0
2020-05-23,50340,0
2020-05-24,50340,0
2020-05-25,50340,0
2020-05-26,50340,0
2020-05-27,50340,0
2020-05-28,50340,0
2020-05-29,50340,0
2020-05-30,50340,0
2020-05-31,50340,0
2020-06-01,50340,0
2020-06-02,50340,0
2020-06-03,50340,0
2020-06-04,50340,0
2020-06-05,50340,0
2020-06-06,50340,0
2020-06-07,50340,0
2020-06-08,50340,0
2020-06-09,50340,0
2020-06-10,50340,0
2020-06-11,50340,0
2020-06-12,50340,0
2020-06-13,50340,0
2020-06-14,50340,0
2020-06-15,50340,0
2020-06-16,50340,0
2020-06-17,50340,0
2020-06-18,50340,0
2020-06-19,50340,0
2020-06-20,50340,0
2020-06-21,50340,0
2020-06-22,50340,0
2020-06-23,50340,0
2020-06-24,50340,0
2020-06-25,50340,0
2020-06-26,50340,0
2020-06-27,50340,0
2020-06-28,50340,0
2020-06-29,50340,0
2020-06-30,50340,0
2020-07-01,50340,0
2020-07-02,50340,0
2020-07-03,50340,0
2020-07-04,50340,0
2020-07-05,50340,0
2020-07-06,50340,0
2020-07-07,50340,0
2020-07-08,50340,0
2020-07-09,50340,0
2020-07-10,50340,0
2020-07-11,50340,0
2020-07-12,50340,0
2020-07-13,50340,0
2020-07-14,50340,0
2020-07-15,50340,0
2020-07-16,50340,0
2020-07-17,50340,0
2020-07-18,50340,0
2020-07-19,50340,0
2020-07-20,50340,0
2020-07-21,50340,0
2020-07-22,50340,0
2020-07-23,50340,0
2020-07-24,50340,0
2020-07-25,50340,0
2020-07-26,50340,0
2020-07-27,50340,0
2020-07-28,50340,0
2020-07-29,50340,0
2020-07-30,50340,0
2020-07-31,50340,0
2020-08-01,50340,0
2020-08-02,50343,3
2020-08-03,50343,0
2020-08-04,50343,0
2020-08-05,50343,0
2020-08-06,50343,0
2020-08-07,50343,0
2020-08-08,50344,1
2020-08-09,50344,0
2020-08-10,50344,0
2020-08-11,50344,0
2020-08-12,50344,0
2020-08-13,50344,0
2020-08-14,50344,0
2020-08-15,50344,0
2020-08-16,50344,0
2020-08-17,50344,0
2020-08-18,50344,0
2020-08-19,50344,0
2020-08-20,50344,0
2020-08-21,50344,0
2020-08-22,50344,0
2020-08-23,50344,0
2020-08-24,50344,0
2020-08-25,50344,0
2020-08-26,50344,0
2020-08-27,50344,0
2020-08-28,50344,0
2020-08-29,50344,0
2020-08-30,50344,0
2020-08-31,50344,0
2020-09-01,50344,0
2020-09-02,50344,0
2020-09-03,50344,0
2020-09-04,50344,0
2020-09-05,50344,0
2020-09-06,50344,0
2020-09-07,50344,0
2020-09-08,50344,0
2020-09-09,50344,0
2020-09-10,50344,0
2020-09-11,50344,0
2020-09-12,50344,0
2020-09-13,50344,0
2020-09-14,50344,0
2020-09-15,50344,0
2020-09-16,50344,0
2020-09-17,50344,0
2020-09-18,50344,0
2020-09-19,50344,0
2020-09-20,50344,0
2020-09-21,50344,0
2020-09-22,50344,0
2020-09-23,50344,0
2020-09-24,50344,0
2020-09-25,50344,0
2020-09-26,50344,0
2020-09-27,50344,0
2020-09-28,50344,0
2020-09-29,50344,0
2020-09-30,50344,0
2020-10-01,50344,0
2020-10-02,50344,0
2020-10-03,50344,0
2020-10-04,50344,0
2020-10-05,50344,0
2020-10-06,50344,0
2020-10-07,50344,0
2020-10-08,50344,0
2020-10-09,50344,0
2020-10-10,50344,0
2020-10-11,50344,0
2020-10-12,50344,0
2020-10-13,50344,0
2020-10-14,50344,0
2020-10-15,50344,0
2020-10-16,50344,0
2020-10-17,50344,0
2020-10-18,50344,0
2020-10-19,50344,0
2020-10-20,50344,0
2020-10-21,50344,0
2020-10-22,50344,0
2020-10-23,50344,0
2020-10-24,50344,0
2020-10-25,50344,0
2020-10-26,50344,0
2020-10-27,50344,0
2020-10-28,50344,0
2020-10-29,50344,0
2020-10-30,50344,0
2020-10-31,50344,0
2020-11-01,50344,0
2020-11-02,50344,0
2020-11-03,50348,4
2020-11-04,50348,0
2020-11-05,50348,0
